municipio,latitud,longitud,altitud_msnm,cat_altitud
POINT (-75.36116053 10.46920726),10.46920726,-75.36116053,57.0,Bajo (<1.000 m)
POINT (-74.26272843 7.772519173),7.772519173,-74.26272843,1137.0,Medio (1.000-1.800 m)
POINT (-73.98371609 7.851315534),7.851315534,-73.98371609,48.0,Bajo (<1.000 m)
POINT (-75.11699226 10.33209031),10.33209031,-75.11699226,2.0,Bajo (<1.000 m)
POINT (-74.58695233 9.269516705),9.269516705,-74.58695233,11.0,Bajo (<1.000 m)
POINT (-74.29676139 8.492345176),8.492345176,-74.29676139,24.0,Bajo (<1.000 m)
POINT (-75.37971541 10.35310756),10.35310756,-75.37971541,114.0,Bajo (<1.000 m)
POINT (-75.43270299 10.25276929),10.25276929,-75.43270299,95.0,Bajo (<1.000 m)
POINT (-75.26736275 10.4449132),10.4449132,-75.26736275,123.0,Bajo (<1.000 m)
POINT (-74.88067037 9.745147021),9.745147021,-74.88067037,70.0,Bajo (<1.000 m)
POINT (-73.37801856 5.518472615),5.518472615,-73.37801856,2941.0,Muy alto (>2.200 m)
POINT (-73.38813425 4.954825081),4.954825081,-73.38813425,2216.0,Muy alto (>2.200 m)
POINT (-72.87149471 5.437416373),5.437416373,-72.87149471,3440.0,Muy alto (>2.200 m)
POINT (-73.42793109 5.73526424),5.73526424,-73.42793109,2971.0,Muy alto (>2.200 m)
POINT (-72.89369887 6.005059265),6.005059265,-72.89369887,2838.0,Muy alto (>2.200 m)
POINT (-73.12731944 5.230936356),5.230936356,-73.12731944,1343.0,Medio (1.000-1.800 m)
POINT (-72.84857876 5.920858933),5.920858933,-72.84857876,2721.0,Muy alto (>2.200 m)
POINT (-72.62021239 6.337515626),6.337515626,-72.62021239,2062.0,Alto (1.800-2.200 m)
POINT (-73.38136994 5.439856216),5.439856216,-73.38136994,2393.0,Muy alto (>2.200 m)
POINT (-73.92660705 5.673229265),5.673229265,-73.92660705,1292.0,Medio (1.000-1.800 m)
POINT (-73.95066255 5.489399419),5.489399419,-73.95066255,1853.0,Alto (1.800-2.200 m)
POINT (-72.87574623 5.843483731),5.843483731,-72.87574623,2667.0,Muy alto (>2.200 m)
POINT (-73.88057508 5.575990669),5.575990669,-73.88057508,2710.0,Muy alto (>2.200 m)
POINT (-73.1446703 5.006862536),5.006862536,-73.1446703,994.0,Bajo (<1.000 m)
POINT (-72.96447288 5.962013698),5.962013698,-72.96447288,2864.0,Muy alto (>2.200 m)
POINT (-73.34048074 5.202971639),5.202971639,-73.34048074,2332.0,Muy alto (>2.200 m)
POINT (-73.80424531 5.622488024),5.622488024,-73.80424531,2542.0,Muy alto (>2.200 m)
POINT (-72.41795675 6.68911806),6.68911806,-72.41795675,3619.0,Muy alto (>2.200 m)
POINT (-72.43903174 6.091468485),6.091468485,-72.43903174,3047.0,Muy alto (>2.200 m)
POINT (-73.42582375 5.984394625),5.984394625,-73.42582375,2042.0,Alto (1.800-2.200 m)
POINT (-73.26061715 5.556830465),5.556830465,-73.26061715,2904.0,Muy alto (>2.200 m)
POINT (-73.28205772 5.393059633),5.393059633,-73.28205772,2622.0,Muy alto (>2.200 m)
POINT (-73.32137049 5.667822366),5.667822366,-73.32137049,2885.0,Muy alto (>2.200 m)
POINT (-74.05996578 5.452461072),5.452461072,-74.05996578,1349.0,Medio (1.000-1.800 m)
POINT (-72.84544845 5.82454582),5.82454582,-72.84544845,2439.0,Muy alto (>2.200 m)
POINT (-72.74020421 6.519521476),6.519521476,-72.74020421,2255.0,Muy alto (>2.200 m)
POINT (-72.18156285 6.886954878),6.886954878,-72.18156285,1685.0,Medio (1.000-1.800 m)
POINT (-73.44598646 5.527104109),5.527104109,-73.44598646,2879.0,Muy alto (>2.200 m)
POINT (-72.93953686 5.58775449),5.58775449,-72.93953686,3106.0,Muy alto (>2.200 m)
POINT (-73.44562391 5.643075648),5.643075648,-73.44562391,2929.0,Muy alto (>2.200 m)
POINT (-73.36142379 4.871181606),4.871181606,-73.36142379,1721.0,Medio (1.000-1.800 m)
POINT (-73.06709484 5.890602515),5.890602515,-73.06709484,3150.0,Muy alto (>2.200 m)
POINT (-72.41923752 6.353363177),6.353363177,-72.41923752,3372.0,Muy alto (>2.200 m)
POINT (-72.48049625 6.508240556),6.508240556,-72.48049625,3046.0,Muy alto (>2.200 m)
POINT (-73.01983352 5.67367659),5.67367659,-73.01983352,2742.0,Muy alto (>2.200 m)
POINT (-72.92499827 5.85899211),5.85899211,-72.92499827,2511.0,Muy alto (>2.200 m)
POINT (-73.5426552 5.744105975),5.744105975,-73.5426552,2469.0,Muy alto (>2.200 m)
POINT (-72.72964765 5.799050256),5.799050256,-72.72964765,3891.0,Muy alto (>2.200 m)
POINT (-73.31430272 5.089466651),5.089466651,-73.31430272,2331.0,Muy alto (>2.200 m)
POINT (-72.51635332 6.445438546),6.445438546,-72.51635332,2689.0,Muy alto (>2.200 m)
POINT (-73.48812352 5.01450831),5.01450831,-73.48812352,1916.0,Alto (1.800-2.200 m)
POINT (-73.49663372 4.931424341),4.931424341,-73.49663372,1812.0,Alto (1.800-2.200 m)
POINT (-72.25599334 6.566991765),6.566991765,-72.25599334,3919.0,Muy alto (>2.200 m)
POINT (-72.96986504 5.617366016),5.617366016,-72.96986504,2698.0,Muy alto (>2.200 m)
POINT (-73.40087021 5.38916272),5.38916272,-73.40087021,2635.0,Muy alto (>2.200 m)
POINT (-72.58523093 6.155633662),6.155633662,-72.58523093,2888.0,Muy alto (>2.200 m)
POINT (-72.5903846 5.541378132),5.541378132,-72.5903846,1117.0,Medio (1.000-1.800 m)
POINT (-73.45923708 5.113167102),5.113167102,-73.45923708,2060.0,Alto (1.800-2.200 m)
POINT (-74.24162727 5.507008121),5.507008121,-74.24162727,1454.0,Medio (1.000-1.800 m)
POINT (-72.55551085 6.265126191),6.265126191,-72.55551085,3020.0,Muy alto (>2.200 m)
POINT (-73.514948 5.665762424),5.665762424,-73.514948,2226.0,Muy alto (>2.200 m)
POINT (-73.29413695 4.980176495),4.980176495,-73.29413695,2080.0,Alto (1.800-2.200 m)
POINT (-74.02003127 5.569810633),5.569810633,-74.02003127,990.0,Bajo (<1.000 m)
POINT (-73.17896722 5.150953297),5.150953297,-73.17896722,2285.0,Muy alto (>2.200 m)
POINT (-72.63402875 5.710937981),5.710937981,-72.63402875,1741.0,Medio (1.000-1.800 m)
POINT (-72.83298664 5.697352228),5.697352228,-72.83298664,3308.0,Muy alto (>2.200 m)
POINT (-73.55852538 5.863370485),5.863370485,-73.55852538,1858.0,Alto (1.800-2.200 m)
POINT (-73.37734267 5.606192449),5.606192449,-73.37734267,3135.0,Muy alto (>2.200 m)
POINT (-74.11177139 5.539429272),5.539429272,-74.11177139,720.0,Bajo (<1.000 m)
POINT (-72.93268324 5.778759851),5.778759851,-72.93268324,2539.0,Muy alto (>2.200 m)
POINT (-73.44873424 5.354701485),5.354701485,-73.44873424,2369.0,Muy alto (>2.200 m)
POINT (-73.27991905 5.610787844),5.610787844,-73.27991905,2704.0,Muy alto (>2.200 m)
