cod_municipio,nom_municipio,cod_departamento,nom_departamento,latitud,longitud
15466,MONGUÍ,15,BOYACÁ,5.697352228,-72.83298664
15469,MONIQUIRÁ,15,BOYACÁ,5.863370485,-73.55852538
15476,MOTAVITA,15,BOYACÁ,5.606192449,-73.37734267
15480,MUZO,15,BOYACÁ,5.539429272,-74.11177139
15491,NOBSA,15,BOYACÁ,5.778759851,-72.93268324
15494,NUEVO COLÓN,15,BOYACÁ,5.354701485,-73.44873424
15500,OICATÁ,15,BOYACÁ,5.610787844,-73.27991905
15507,OTANCHE,15,BOYACÁ,5.753787787,-74.19719423
15511,PACHAVITA,15,BOYACÁ,5.148323877,-73.39951219
15514,PÁEZ,15,BOYACÁ,5.095211035,-73.00435863
15516,PAIPA,15,BOYACÁ,5.762027786,-73.13777442
15518,PAJARITO,15,BOYACÁ,5.382328949,-72.69672674
15522,PANQUEBA,15,BOYACÁ,6.443299758,-72.46182431
15531,PAUNA,15,BOYACÁ,5.688801559,-74.00504122
15533,PAYA,15,BOYACÁ,5.621242742,-72.3692906
15537,PAZ DE RÍO,15,BOYACÁ,6.030008561,-72.75988018
15542,PESCA,15,BOYACÁ,5.498483324,-73.07837993
15550,PISBA,15,BOYACÁ,5.768131812,-72.43993232
15572,PUERTO BOYACÁ,15,BOYACÁ,5.953466654,-74.4528581
15580,QUÍPAMA,15,BOYACÁ,5.595729831,-74.26857067
15599,RAMIRIQUÍ,15,BOYACÁ,5.319934092,-73.310779
15600,RÁQUIRA,15,BOYACÁ,5.496268621,-73.62894438
15621,RONDÓN,15,BOYACÁ,5.379947879,-73.19650995
15632,SABOYÁ,15,BOYACÁ,5.699926051,-73.74799466
15638,SÁCHICA,15,BOYACÁ,5.573464882,-73.543102
15646,SAMACÁ,15,BOYACÁ,5.47053997,-73.5211756
15660,SAN EDUARDO,15,BOYACÁ,5.234614686,-73.04914067
15664,SAN JOSÉ DE PARE,15,BOYACÁ,5.994154088,-73.54386522
15667,SAN LUIS DE GACENO,15,BOYACÁ,4.798203543,-73.13397018
15673,SAN MATEO,15,BOYACÁ,6.395388812,-72.55184862
15676,SAN MIGUEL DE SEMA,15,BOYACÁ,5.532326922,-73.74715898
15681,SAN PABLO DE BORBUR,15,BOYACÁ,5.677345066,-74.11403749
15686,SANTANA,15,BOYACÁ,6.057614971,-73.48974828
15690,SANTA MARÍA,15,BOYACÁ,4.823002556,-73.25377506
15693,SANTA ROSA DE VITERBO,15,BOYACÁ,5.892950301,-72.9917278
